year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,%_votes
2016,FLORIDA,FL,HILLSBOROUGH,12057,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,307896,597660,0.52
2016,FLORIDA,FL,HOLMES,12059,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,853,8514,0.1
2016,FLORIDA,FL,INDIAN RIVER,12061,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,29043,80009,0.36
2016,FLORIDA,FL,JACKSON,12063,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,6397,21041,0.3
2016,FLORIDA,FL,JEFFERSON,12065,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3541,7645,0.46
2016,FLORIDA,FL,LAFAYETTE,12067,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,518,3392,0.15
2016,FLORIDA,FL,LAKE,12069,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,62838,170462,0.37
2016,FLORIDA,FL,LEE,12071,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,124908,326420,0.38
2016,FLORIDA,FL,LEON,12073,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,92068,152132,0.61
2016,FLORIDA,FL,LEVY,12075,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,5101,19395,0.26
2016,FLORIDA,FL,LIBERTY,12077,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,651,3296,0.2
2016,FLORIDA,FL,MADISON,12079,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3526,8505,0.41
2016,FLORIDA,FL,MANATEE,12081,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,71224,178958,0.4
2016,FLORIDA,FL,MARION,12083,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,62041,174700,0.36
2016,FLORIDA,FL,MARTIN,12085,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,30185,85792,0.35
2016,FLORIDA,FL,MIAMI-DADE,12086,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,624146,980204,0.64
2016,FLORIDA,FL,MONROE,12087,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,18971,42478,0.45
2016,FLORIDA,FL,NASSAU,12089,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,10869,46607,0.23
2016,FLORIDA,FL,OKALOOSA,12091,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,23780,100855,0.24
2016,FLORIDA,FL,OKEECHOBEE,12093,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3959,13653,0.29
2016,FLORIDA,FL,ORANGE,12095,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,329894,546275,0.6
2016,FLORIDA,FL,OSCEOLA,12097,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,85458,140206,0.61
2016,FLORIDA,FL,PALM BEACH,12099,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,374673,662332,0.57
2016,FLORIDA,FL,PASCO,12101,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,90142,241139,0.37
2016,FLORIDA,FL,PINELLAS,12103,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,233701,492403,0.47
2016,FLORIDA,FL,POLK,12105,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,117433,284314,0.41
2016,FLORIDA,FL,PUTNAM,12107,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,10094,33117,0.3
2016,FLORIDA,FL,ST. JOHNS,12109,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,43099,136514,0.32
2016,FLORIDA,FL,ST. LUCIE,12111,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,66881,140847,0.47
2016,FLORIDA,FL,SANTA ROSA,12113,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,18464,87745,0.21
2016,FLORIDA,FL,SARASOTA,12115,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,97870,229063,0.43
2016,FLORIDA,FL,SEMINOLE,12117,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,105914,224896,0.47
2016,FLORIDA,FL,SUMTER,12119,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,22638,76665,0.3
2016,FLORIDA,FL,SUWANNEE,12121,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3964,18694,0.21
2016,FLORIDA,FL,TAYLOR,12123,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,2152,9290,0.23
2016,FLORIDA,FL,UNION,12125,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1014,5694,0.18
2016,FLORIDA,FL,VOLUSIA,12127,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,109091,260869,0.42
2016,FLORIDA,FL,WAKULLA,12129,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,4348,15351,0.28
2016,FLORIDA,FL,WALTON,12131,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,6876,33637,0.2
2016,FLORIDA,FL,WASHINGTON,12133,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,2264,11156,0.2
2017,FLORIDA,FL,ALACHUA,12001,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,75820,128571,0.59
2017,FLORIDA,FL,BAKER,12003,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,2112,12634,0.17
2017,FLORIDA,FL,BAY,12005,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,21797,87453,0.25
2017,FLORIDA,FL,BRADFORD,12007,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,2924,12098,0.24
2017,FLORIDA,FL,BREVARD,12009,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,119679,314752,0.38
2017,FLORIDA,FL,BROWARD,12011,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,553320,831951,0.67
2017,FLORIDA,FL,CALHOUN,12013,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1241,6081,0.2
2017,FLORIDA,FL,CHARLOTTE,12015,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,33445,96374,0.35
2017,FLORIDA,FL,CITRUS,12017,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,22789,79700,0.29
2017,FLORIDA,FL,CLAY,12019,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,27822,106483,0.26
2017,FLORIDA,FL,COLLIER,12021,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,61085,170789,0.36
2017,FLORIDA,FL,COLUMBIA,12023,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,7601,28707,0.26
2017,FLORIDA,FL,DESOTO,12027,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3781,10818,0.35
2017,FLORIDA,FL,DIXIE,12029,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1270,7202,0.18
2017,FLORIDA,FL,DUVAL,12031,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,205704,432695,0.48
2017,FLORIDA,FL,ESCAMBIA,12033,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,57461,152469,0.38
2017,FLORIDA,FL,FLAGLER,12035,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,22026,57503,0.38
2017,FLORIDA,FL,FRANKLIN,12037,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1744,6015,0.29
2017,FLORIDA,FL,GADSDEN,12039,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,15020,22113,0.68
2017,FLORIDA,FL,GILCHRIST,12041,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1458,8420,0.17
2017,FLORIDA,FL,GLADES,12043,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1271,4353,0.29
2017,FLORIDA,FL,GULF,12045,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1720,7293,0.24
2017,FLORIDA,FL,HAMILTON,12047,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1904,5460,0.35
2017,FLORIDA,FL,HARDEE,12049,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,2149,7583,0.28
2017,FLORIDA,FL,HENDRY,12051,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,4615,11115,0.42
2017,FLORIDA,FL,HERNANDO,12053,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,31795,93796,0.34
2017,FLORIDA,FL,HIGHLANDS,12055,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,14937,45686,0.33
2017,FLORIDA,FL,HILLSBOROUGH,12057,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,307896,597660,0.52
2017,FLORIDA,FL,HOLMES,12059,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,853,8514,0.1
2017,FLORIDA,FL,INDIAN RIVER,12061,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,29043,80009,0.36
2017,FLORIDA,FL,JACKSON,12063,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,6397,21041,0.3
2017,FLORIDA,FL,JEFFERSON,12065,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3541,7645,0.46
2017,FLORIDA,FL,LAFAYETTE,12067,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,518,3392,0.15
2017,FLORIDA,FL,LAKE,12069,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,62838,170462,0.37
2017,FLORIDA,FL,LEE,12071,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,124908,326420,0.38
2017,FLORIDA,FL,LEON,12073,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,92068,152132,0.61
2017,FLORIDA,FL,LEVY,12075,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,5101,19395,0.26
2017,FLORIDA,FL,LIBERTY,12077,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,651,3296,0.2
2017,FLORIDA,FL,MADISON,12079,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3526,8505,0.41
2017,FLORIDA,FL,MANATEE,12081,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,71224,178958,0.4
2017,FLORIDA,FL,MARION,12083,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,62041,174700,0.36
2017,FLORIDA,FL,MARTIN,12085,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,30185,85792,0.35
2017,FLORIDA,FL,MIAMI-DADE,12086,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,624146,980204,0.64
2017,FLORIDA,FL,MONROE,12087,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,18971,42478,0.45
2017,FLORIDA,FL,NASSAU,12089,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,10869,46607,0.23
2017,FLORIDA,FL,OKALOOSA,12091,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,23780,100855,0.24
2017,FLORIDA,FL,OKEECHOBEE,12093,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3959,13653,0.29
2017,FLORIDA,FL,ORANGE,12095,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,329894,546275,0.6
2017,FLORIDA,FL,OSCEOLA,12097,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,85458,140206,0.61
2017,FLORIDA,FL,PALM BEACH,12099,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,374673,662332,0.57
2017,FLORIDA,FL,PASCO,12101,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,90142,241139,0.37
2017,FLORIDA,FL,PINELLAS,12103,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,233701,492403,0.47
2017,FLORIDA,FL,POLK,12105,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,117433,284314,0.41
2017,FLORIDA,FL,PUTNAM,12107,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,10094,33117,0.3
2017,FLORIDA,FL,ST. JOHNS,12109,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,43099,136514,0.32
2017,FLORIDA,FL,ST. LUCIE,12111,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,66881,140847,0.47
2017,FLORIDA,FL,SANTA ROSA,12113,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,18464,87745,0.21
2017,FLORIDA,FL,SARASOTA,12115,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,97870,229063,0.43
2017,FLORIDA,FL,SEMINOLE,12117,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,105914,224896,0.47
2017,FLORIDA,FL,SUMTER,12119,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,22638,76665,0.3
2017,FLORIDA,FL,SUWANNEE,12121,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3964,18694,0.21
2017,FLORIDA,FL,TAYLOR,12123,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,2152,9290,0.23
2017,FLORIDA,FL,UNION,12125,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1014,5694,0.18
2017,FLORIDA,FL,VOLUSIA,12127,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,109091,260869,0.42
2017,FLORIDA,FL,WAKULLA,12129,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,4348,15351,0.28
2017,FLORIDA,FL,WALTON,12131,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,6876,33637,0.2
2017,FLORIDA,FL,WASHINGTON,12133,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,2264,11156,0.2
2018,FLORIDA,FL,ALACHUA,12001,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,75820,128571,0.59
2018,FLORIDA,FL,BAKER,12003,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,2112,12634,0.17
