,Full county,County,Year,Percent Democrat
180,"Okeechobee County, FL",Okeechobee,2012,0.5
181,"Orange County, FL",Orange,2012,0.635
182,"Osceola County, FL",Osceola,2012,0.664
183,"Palm Beach County, FL",Palm Beach,2012,0.637
184,"Pasco County, FL",Pasco,2012,0.538
185,"Pinellas County, FL",Pinellas,2012,0.591
186,"Polk County, FL",Polk,2012,0.524
187,"Putnam County, FL",Putnam,2012,0.474
188,"Saint Johns County, FL",Saint Johns,2012,0.369
189,"Saint Lucie County, FL",Saint Lucie,2012,0.59
190,"Santa Rosa County, FL",Santa Rosa,2012,0.292
191,"Sarasota County, FL",Sarasota,2012,0.509
192,"Seminole County, FL",Seminole,2012,0.528
193,"Sumter County, FL",Sumter,2012,0.395
194,"Suwannee County, FL",Suwannee,2012,0.362
195,"Taylor County, FL",Taylor,2012,0.436
196,"Union County, FL",Union,2012,0.39
197,"Volusia County, FL",Volusia,2012,0.552
198,"Wakulla County, FL",Wakulla,2012,0.467
199,"Walton County, FL",Walton,2012,0.305
200,"Washington County, FL",Washington,2012,0.383
201,"Alachua County, FL",Alachua,2013,0.621
202,"Baker County, FL",Baker,2013,0.349
203,"Bay County, FL",Bay,2013,0.363
204,"Bradford County, FL",Bradford,2013,0.395
205,"Brevard County, FL",Brevard,2013,0.509
206,"Broward County, FL",Broward,2013,0.696
207,"Calhoun County, FL",Calhoun,2013,0.454
208,"Charlotte County, FL",Charlotte,2013,0.453
209,"Citrus County, FL",Citrus,2013,0.476
210,"Clay County, FL",Clay,2013,0.331
211,"Collier County, FL",Collier,2013,0.382
212,"Columbia County, FL",Columbia,2013,0.403
213,"DeSoto County, FL",DeSoto,2013,0.481
214,"Dixie County, FL",Dixie,2013,0.404
215,"Duval County, FL",Duval,2013,0.527
216,"Escambia County, FL",Escambia,2013,0.447
217,"Flagler County, FL",Flagler,2013,0.52
218,"Franklin County, FL",Franklin,2013,0.488
219,"Gadsden County, FL",Gadsden,2013,0.741
220,"Gilchrist County, FL",Gilchrist,2013,0.361
221,"Glades County, FL",Glades,2013,0.472
222,"Gulf County, FL",Gulf,2013,0.444
223,"Hamilton County, FL",Hamilton,2013,0.487
224,"Hardee County, FL",Hardee,2013,0.441
225,"Hendry County, FL",Hendry,2013,0.502
226,"Hernando County, FL",Hernando,2013,0.534
227,"Highlands County, FL",Highlands,2013,0.466
228,"Hillsborough County, FL",Hillsborough,2013,0.587
229,"Holmes County, FL",Holmes,2013,0.275
230,"Indian River County, FL",Indian River,2013,0.433
231,"Jackson County, FL",Jackson,2013,0.463
232,"Jefferson County, FL",Jefferson,2013,0.595
233,"Lafayette County, FL",Lafayette,2013,0.335
234,"Lake County, FL",Lake,2013,0.477
235,"Lee County, FL",Lee,2013,0.453
236,"Leon County, FL",Leon,2013,0.657
237,"Levy County, FL",Levy,2013,0.435
238,"Liberty County, FL",Liberty,2013,0.49
239,"Madison County, FL",Madison,2013,0.559
240,"Manatee County, FL",Manatee,2013,0.494
241,"Marion County, FL",Marion,2013,0.487
242,"Martin County, FL",Martin,2013,0.443
243,"Miami-Dade County, FL",Miami-Dade,2013,0.632
244,"Monroe County, FL",Monroe,2013,0.523
245,"Nassau County, FL",Nassau,2013,0.338
246,"Okaloosa County, FL",Okaloosa,2013,0.294
247,"Okeechobee County, FL",Okeechobee,2013,0.5
248,"Orange County, FL",Orange,2013,0.635
249,"Osceola County, FL",Osceola,2013,0.664
250,"Palm Beach County, FL",Palm Beach,2013,0.637
251,"Pasco County, FL",Pasco,2013,0.538
252,"Pinellas County, FL",Pinellas,2013,0.591
253,"Polk County, FL",Polk,2013,0.524
254,"Putnam County, FL",Putnam,2013,0.474
255,"Saint Johns County, FL",Saint Johns,2013,0.369
256,"Saint Lucie County, FL",Saint Lucie,2013,0.59
257,"Santa Rosa County, FL",Santa Rosa,2013,0.292
258,"Sarasota County, FL",Sarasota,2013,0.509
259,"Seminole County, FL",Seminole,2013,0.528
260,"Sumter County, FL",Sumter,2013,0.395
261,"Suwannee County, FL",Suwannee,2013,0.362
262,"Taylor County, FL",Taylor,2013,0.436
263,"Union County, FL",Union,2013,0.39
264,"Volusia County, FL",Volusia,2013,0.552
265,"Wakulla County, FL",Wakulla,2013,0.467
266,"Walton County, FL",Walton,2013,0.305
267,"Washington County, FL",Washington,2013,0.383
268,"Alachua County, FL",Alachua,2014,0.621
269,"Baker County, FL",Baker,2014,0.349
270,"Bay County, FL",Bay,2014,0.363
271,"Bradford County, FL",Bradford,2014,0.395
272,"Brevard County, FL",Brevard,2014,0.509
273,"Broward County, FL",Broward,2014,0.696
274,"Calhoun County, FL",Calhoun,2014,0.454
275,"Charlotte County, FL",Charlotte,2014,0.453
276,"Citrus County, FL",Citrus,2014,0.476
277,"Clay County, FL",Clay,2014,0.331
278,"Collier County, FL",Collier,2014,0.382
279,"Columbia County, FL",Columbia,2014,0.403
280,"DeSoto County, FL",DeSoto,2014,0.481
281,"Dixie County, FL",Dixie,2014,0.404
282,"Duval County, FL",Duval,2014,0.527
283,"Escambia County, FL",Escambia,2014,0.447
284,"Flagler County, FL",Flagler,2014,0.52
285,"Franklin County, FL",Franklin,2014,0.488
286,"Gadsden County, FL",Gadsden,2014,0.741
287,"Gilchrist County, FL",Gilchrist,2014,0.361
288,"Glades County, FL",Glades,2014,0.472
289,"Gulf County, FL",Gulf,2014,0.444
290,"Hamilton County, FL",Hamilton,2014,0.487
291,"Hardee County, FL",Hardee,2014,0.441
292,"Hendry County, FL",Hendry,2014,0.502
293,"Hernando County, FL",Hernando,2014,0.534
294,"Highlands County, FL",Highlands,2014,0.466
295,"Hillsborough County, FL",Hillsborough,2014,0.587
296,"Holmes County, FL",Holmes,2014,0.275
297,"Indian River County, FL",Indian River,2014,0.433
298,"Jackson County, FL",Jackson,2014,0.463
299,"Jefferson County, FL",Jefferson,2014,0.595
300,"Lafayette County, FL",Lafayette,2014,0.335
301,"Lake County, FL",Lake,2014,0.477
302,"Lee County, FL",Lee,2014,0.453
303,"Leon County, FL",Leon,2014,0.657
304,"Levy County, FL",Levy,2014,0.435
305,"Liberty County, FL",Liberty,2014,0.49
306,"Madison County, FL",Madison,2014,0.559
307,"Manatee County, FL",Manatee,2014,0.494
308,"Marion County, FL",Marion,2014,0.487
309,"Martin County, FL",Martin,2014,0.443
310,"Miami-Dade County, FL",Miami-Dade,2014,0.632
311,"Monroe County, FL",Monroe,2014,0.523
312,"Nassau County, FL",Nassau,2014,0.338
313,"Okaloosa County, FL",Okaloosa,2014,0.294
314,"Okeechobee County, FL",Okeechobee,2014,0.5
315,"Orange County, FL",Orange,2014,0.635
316,"Osceola County, FL",Osceola,2014,0.664
317,"Palm Beach County, FL",Palm Beach,2014,0.637
318,"Pasco County, FL",Pasco,2014,0.538
319,"Pinellas County, FL",Pinellas,2014,0.591
320,"Polk County, FL",Polk,2014,0.524
321,"Putnam County, FL",Putnam,2014,0.474
322,"Saint Johns County, FL",Saint Johns,2014,0.369
323,"Saint Lucie County, FL",Saint Lucie,2014,0.59
324,"Santa Rosa County, FL",Santa Rosa,2014,0.292
325,"Sarasota County, FL",Sarasota,2014,0.509
326,"Seminole County, FL",Seminole,2014,0.528
327,"Sumter County, FL",Sumter,2014,0.395
328,"Suwannee County, FL",Suwannee,2014,0.362
329,"Taylor County, FL",Taylor,2014,0.436
330,"Union County, FL",Union,2014,0.39
331,"Volusia County, FL",Volusia,2014,0.552
332,"Wakulla County, FL",Wakulla,2014,0.467
333,"Walton County, FL",Walton,2014,0.305
334,"Washington County, FL",Washington,2014,0.383
335,"Alachua County, FL",Alachua,2015,0.621
336,"Baker County, FL",Baker,2015,0.349
337,"Bay County, FL",Bay,2015,0.363
338,"Bradford County, FL",Bradford,2015,0.395
339,"Brevard County, FL",Brevard,2015,0.509
340,"Broward County, FL",Broward,2015,0.696
341,"Calhoun County, FL",Calhoun,2015,0.454
342,"Charlotte County, FL",Charlotte,2015,0.453
343,"Citrus County, FL",Citrus,2015,0.476
344,"Clay County, FL",Clay,2015,0.331
345,"Collier County, FL",Collier,2015,0.382
346,"Columbia County, FL",Columbia,2015,0.403
347,"DeSoto County, FL",DeSoto,2015,0.481
348,"Dixie County, FL",Dixie,2015,0.404
349,"Duval County, FL",Duval,2015,0.527
350,"Escambia County, FL",Escambia,2015,0.447
351,"Flagler County, FL",Flagler,2015,0.52
352,"Franklin County, FL",Franklin,2015,0.488
353,"Gadsden County, FL",Gadsden,2015,0.741
354,"Gilchrist County, FL",Gilchrist,2015,0.361
355,"Glades County, FL",Glades,2015,0.472
356,"Gulf County, FL",Gulf,2015,0.444
357,"Hamilton County, FL",Hamilton,2015,0.487
358,"Hardee County, FL",Hardee,2015,0.441
359,"Hendry County, FL",Hendry,2015,0.502
360,"Hernando County, FL",Hernando,2015,0.534
361,"Highlands County, FL",Highlands,2015,0.466
362,"Hillsborough County, FL",Hillsborough,2015,0.587
363,"Holmes County, FL",Holmes,2015,0.275
364,"Indian River County, FL",Indian River,2015,0.433
365,"Jackson County, FL",Jackson,2015,0.463
366,"Jefferson County, FL",Jefferson,2015,0.595
367,"Lafayette County, FL",Lafayette,2015,0.335
368,"Lake County, FL",Lake,2015,0.477
369,"Lee County, FL",Lee,2015,0.453
370,"Leon County, FL",Leon,2015,0.657
371,"Levy County, FL",Levy,2015,0.435
372,"Liberty County, FL",Liberty,2015,0.49
373,"Madison County, FL",Madison,2015,0.559
374,"Manatee County, FL",Manatee,2015,0.494
375,"Marion County, FL",Marion,2015,0.487
376,"Martin County, FL",Martin,2015,0.443
377,"Miami-Dade County, FL",Miami-Dade,2015,0.632
378,"Monroe County, FL",Monroe,2015,0.523
379,"Nassau County, FL",Nassau,2015,0.338
380,"Okaloosa County, FL",Okaloosa,2015,0.294
381,"Okeechobee County, FL",Okeechobee,2015,0.5
382,"Orange County, FL",Orange,2015,0.635
383,"Osceola County, FL",Osceola,2015,0.664
384,"Palm Beach County, FL",Palm Beach,2015,0.637
385,"Pasco County, FL",Pasco,2015,0.538
386,"Pinellas County, FL",Pinellas,2015,0.591
387,"Polk County, FL",Polk,2015,0.524
388,"Putnam County, FL",Putnam,2015,0.474
389,"Saint Johns County, FL",Saint Johns,2015,0.369
390,"Saint Lucie County, FL",Saint Lucie,2015,0.59
391,"Santa Rosa County, FL",Santa Rosa,2015,0.292
392,"Sarasota County, FL",Sarasota,2015,0.509
393,"Seminole County, FL",Seminole,2015,0.528
394,"Sumter County, FL",Sumter,2015,0.395
395,"Suwannee County, FL",Suwannee,2015,0.362
396,"Taylor County, FL",Taylor,2015,0.436
397,"Union County, FL",Union,2015,0.39
398,"Volusia County, FL",Volusia,2015,0.552
399,"Wakulla County, FL",Wakulla,2015,0.467
400,"Walton County, FL",Walton,2015,0.305
401,"Washington County, FL",Washington,2015,0.383
402,"Alachua County, FL",Alachua,2016,0.545
403,"Baker County, FL",Baker,2016,0.171
404,"Bay County, FL",Bay,2016,0.23
405,"Bradford County, FL",Bradford,2016,0.237
406,"Brevard County, FL",Brevard,2016,0.363
407,"Broward County, FL",Broward,2016,0.638
408,"Calhoun County, FL",Calhoun,2016,0.212
409,"Charlotte County, FL",Charlotte,2016,0.318
410,"Citrus County, FL",Citrus,2016,0.307
411,"Clay County, FL",Clay,2016,0.221
412,"Collier County, FL",Collier,2016,0.292
413,"Columbia County, FL",Columbia,2016,0.26
414,"DeSoto County, FL",DeSoto,2016,0.315
415,"Dixie County, FL",Dixie,2016,0.227
416,"Duval County, FL",Duval,2016,0.401
417,"Escambia County, FL",Escambia,2016,0.339
418,"Flagler County, FL",Flagler,2016,0.375
419,"Franklin County, FL",Franklin,2016,0.309
420,"Gadsden County, FL",Gadsden,2016,0.664
421,"Gilchrist County, FL",Gilchrist,2016,0.201
422,"Glades County, FL",Glades,2016,0.278
423,"Gulf County, FL",Gulf,2016,0.243
424,"Hamilton County, FL",Hamilton,2016,0.393
425,"Hardee County, FL",Hardee,2016,0.27
426,"Hendry County, FL",Hendry,2016,0.356
427,"Hernando County, FL",Hernando,2016,0.355
428,"Highlands County, FL",Highlands,2016,0.322
429,"Hillsborough County, FL",Hillsborough,2016,0.476
430,"Holmes County, FL",Holmes,2016,0.116
431,"Indian River County, FL",Indian River,2016,0.358
432,"Jackson County, FL",Jackson,2016,0.305
433,"Jefferson County, FL",Jefferson,2016,0.477
434,"Lafayette County, FL",Lafayette,2016,0.199
435,"Lake County, FL",Lake,2016,0.352
436,"Lee County, FL",Lee,2016,0.325
437,"Leon County, FL",Leon,2016,0.574
438,"Levy County, FL",Levy,2016,0.278
439,"Liberty County, FL",Liberty,2016,0.233
440,"Madison County, FL",Madison,2016,0.424
441,"Manatee County, FL",Manatee,2016,0.376
442,"Marion County, FL",Marion,2016,0.345
443,"Martin County, FL",Martin,2016,0.394
444,"Miami-Dade County, FL",Miami-Dade,2016,0.546
445,"Monroe County, FL",Monroe,2016,0.448
446,"Nassau County, FL",Nassau,2016,0.207
447,"Okaloosa County, FL",Okaloosa,2016,0.208
448,"Okeechobee County, FL",Okeechobee,2016,0.318
449,"Orange County, FL",Orange,2016,0.544
450,"Osceola County, FL",Osceola,2016,0.546
451,"Palm Beach County, FL",Palm Beach,2016,0.537
452,"Pasco County, FL",Pasco,2016,0.373
453,"Pinellas County, FL",Pinellas,2016,0.46
454,"Polk County, FL",Polk,2016,0.394
455,"Putnam County, FL",Putnam,2016,0.303
456,"Saint Johns County, FL",Saint Johns,2016,0.262
457,"Saint Lucie County, FL",Saint Lucie,2016,0.499
458,"Santa Rosa County, FL",Santa Rosa,2016,0.187
459,"Sarasota County, FL",Sarasota,2016,0.409
460,"Seminole County, FL",Seminole,2016,0.427
461,"Sumter County, FL",Sumter,2016,0.279
462,"Suwannee County, FL",Suwannee,2016,0.242
463,"Taylor County, FL",Taylor,2016,0.288
464,"Union County, FL",Union,2016,0.191
465,"Volusia County, FL",Volusia,2016,0.407
466,"Wakulla County, FL",Wakulla,2016,0.319
467,"Walton County, FL",Walton,2016,0.19
468,"Washington County, FL",Washington,2016,0.202
469,"Alachua County, FL",Alachua,2017,0.545
470,"Baker County, FL",Baker,2017,0.171
471,"Bay County, FL",Bay,2017,0.23
472,"Bradford County, FL",Bradford,2017,0.237
473,"Brevard County, FL",Brevard,2017,0.363
474,"Broward County, FL",Broward,2017,0.638
475,"Calhoun County, FL",Calhoun,2017,0.212
476,"Charlotte County, FL",Charlotte,2017,0.318
477,"Citrus County, FL",Citrus,2017,0.307
478,"Clay County, FL",Clay,2017,0.221
479,"Collier County, FL",Collier,2017,0.292
480,"Columbia County, FL",Columbia,2017,0.26
481,"DeSoto County, FL",DeSoto,2017,0.315
482,"Dixie County, FL",Dixie,2017,0.227
483,"Duval County, FL",Duval,2017,0.401
484,"Escambia County, FL",Escambia,2017,0.339
485,"Flagler County, FL",Flagler,2017,0.375
486,"Franklin County, FL",Franklin,2017,0.309
487,"Gadsden County, FL",Gadsden,2017,0.664
488,"Gilchrist County, FL",Gilchrist,2017,0.201
489,"Glades County, FL",Glades,2017,0.278
490,"Gulf County, FL",Gulf,2017,0.243
491,"Hamilton County, FL",Hamilton,2017,0.393
492,"Hardee County, FL",Hardee,2017,0.27
493,"Hendry County, FL",Hendry,2017,0.356
494,"Hernando County, FL",Hernando,2017,0.355
495,"Highlands County, FL",Highlands,2017,0.322
496,"Hillsborough County, FL",Hillsborough,2017,0.476
497,"Holmes County, FL",Holmes,2017,0.116
498,"Indian River County, FL",Indian River,2017,0.358
499,"Jackson County, FL",Jackson,2017,0.305
